Year,Sector,Region,11 ABM MALE,11 ABM FEMALE,11 HUMMS MALE,11 HUMMS FEMALE,11 STEM MALE,11 STEM FEMALE,11 GAS MALE,11 GAS FEMALE,11 MARITIME MALE,11 MARITIME FEMALE,11 TVL MALE,11 TVL FEMALE,11 SPORTS MALE,11 SPORTS FEMALE,11 ARTS&DESIGN MALE,11 ARTS&DESIGN FEMALE,12 ABM MALE,12 ABM FEMALE,12 HUMMS MALE,12 HUMMS FEMALE,12 STEM MALE,12 STEM FEMALE,12 GAS MALE,12 GAS FEMALE,12 MARITIME MALE,12 MARITIME FEMALE,12 TVL MALE,12 TVL FEMALE,12 SPORTS MALE,12 SPORTS FEMALE,12 ARTS&DESIGN MALE,12 ARTS&DESIGN FEMALE
2016 - 2017,PUBLICPRIVATESUCsLUCs,Region I - Ilocos Region,2361,6858,2502,3378,6354,5136,9649,10779,178,0,17248,13910,32,17,85,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 - 2018,PUBLICPRIVATESUCsLUCs,Region I - Ilocos Region,2625,7073,4192,5614,5446,5412,10420,10340,300,21,16449,13087,17,1,117,93,2193.0,6575.0,2303.0,3270.0,5932.0,4982.0,8371.0,9788.0,188.0,9.0,15065.0,12494.0,23.0,13.0,82.0,76.0
2018 - 2019,PUBLICPRIVATESUCsLUCs,Region I - Ilocos Region,2134,6739,6253,7620,6211,6277,9586,9029,289,15,17940,13392,0,0,122,100,2465.0,6803.0,4080.0,5555.0,5376.0,5379.0,9778.0,9884.0,194.0,8.0,15130.0,12175.0,16.0,1.0,113.0,88.0
2019 - 2020,PUBLICPRIVATESUCsLUCs,Region I - Ilocos Region,2263,6660,8751,9711,6724,7432,8347,7721,201,8,18097,13135,0,0,157,123,2031.0,6567.0,5925.0,7410.0,6047.0,6191.0,8854.0,8530.0,252.0,18.0,16078.0,12334.0,0.0,0.0,109.0,92.0
2020 - 2021,PUBLICPRIVATESUCsLUCs,Region I - Ilocos Region,2154,6264,10689,11567,7113,8581,8847,8330,57,3,17026,12247,0,0,83,42,2133.0,6450.0,8259.0,9333.0,6590.0,7304.0,7744.0,7378.0,174.0,8.0,16273.0,12350.0,0.0,0.0,146.0,114.0
2016 - 2017,PUBLICPRIVATESUCsLUCs,Region II - Cagayan Valley,1447,4207,1906,2389,4080,3871,7568,8516,176,12,7496,6435,86,66,64,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 - 2018,PUBLICPRIVATESUCsLUCs,Region II - Cagayan Valley,1783,4362,3119,3553,3263,3625,6954,7383,180,13,7789,6676,89,37,76,53,1226.0,3581.0,1756.0,2248.0,3489.0,3390.0,6257.0,7410.0,154.0,11.0,6874.0,6124.0,85.0,55.0,50.0,38.0
2018 - 2019,PUBLICPRIVATESUCsLUCs,Region II - Cagayan Valley,1673,4558,5155,5583,4119,4625,6027,6507,202,8,8636,6672,93,56,92,90,1665.0,4228.0,3205.0,3692.0,3477.0,3924.0,6131.0,6770.0,163.0,11.0,7452.0,6432.0,86.0,38.0,85.0,59.0
2019 - 2020,PUBLICPRIVATESUCsLUCs,Region II - Cagayan Valley,1529,3803,7164,7597,4478,5637,5449,5565,103,3,8564,6336,148,101,97,98,1579.0,4304.0,4915.0,5496.0,4082.0,4548.0,5526.0,6071.0,172.0,8.0,7666.0,6106.0,74.0,48.0,79.0,83.0
2020 - 2021,PUBLICPRIVATESUCsLUCs,Region II - Cagayan Valley,1389,3765,9011,9489,4855,6531,6109,6087,34,5,7849,5494,121,57,78,57,1484.0,3821.0,7064.0,7640.0,4454.0,5625.0,4848.0,5090.0,92.0,2.0,7664.0,6045.0,145.0,95.0,85.0,93.0
2016 - 2017,PUBLICPRIVATESUCsLUCs,Region III - Central Luzon,8781,20429,5670,9325,16933,12131,12964,14538,230,25,35512,28131,205,75,120,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 - 2018,PUBLICPRIVATESUCsLUCs,Region III - Central Luzon,8671,19397,8235,12196,13674,11522,15281,15492,585,45,35931,28660,115,59,158,156,7560.0,18263.0,4977.0,8246.0,15090.0,10955.0,11113.0,12965.0,229.0,27.0,29754.0,23987.0,134.0,56.0,109.0,124.0
2018 - 2019,PUBLICPRIVATESUCsLUCs,Region III - Central Luzon,9505,20769,12399,16941,14987,12949,16079,15290,425,23,36638,26690,220,98,185,190,8110.0,18871.0,7853.0,11914.0,13506.0,11514.0,14316.0,14664.0,475.0,31.0,32840.0,26003.0,118.0,63.0,181.0,147.0
2019 - 2020,PUBLICPRIVATESUCsLUCs,Region III - Central Luzon,9279,20363,17836,23057,16876,15598,14109,12935,334,18,34749,24148,106,49,232,227,8747.0,19510.0,11294.0,15885.0,14422.0,12602.0,14416.0,13895.0,377.0,22.0,32168.0,23583.0,198.0,107.0,188.0,185.0
2020 - 2021,PUBLICPRIVATESUCsLUCs,Region III - Central Luzon,8664,19861,21028,26201,18203,18051,15383,14368,233,27,29000,21075,102,50,187,187,8505.0,19129.0,16365.0,21617.0,16157.0,15037.0,12500.0,11834.0,294.0,18.0,29288.0,21129.0,87.0,44.0,194.0,182.0
2016 - 2017,PUBLICPRIVATESUCsLUCs,Region IV-A - CALABARZON,11766,29244,7876,13004,24445,16996,13391,15002,67,3,41272,33032,193,49,350,448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 - 2018,PUBLICPRIVATESUCsLUCs,Region IV-A - CALABARZON,13126,28754,13562,18973,20677,16225,14288,14913,252,11,41367,31881,195,63,328,397,10519.0,27026.0,7501.0,12518.0,22117.0,15726.0,11550.0,13015.0,67.0,3.0,35617.0,28771.0,161.0,41.0,314.0,415.0
2018 - 2019,PUBLICPRIVATESUCsLUCs,Region IV-A - CALABARZON,13512,30719,19755,25476,22294,19318,12566,11715,380,18,44015,32686,251,111,446,574,12237.0,27637.0,13141.0,18713.0,19704.0,15688.0,12468.0,13310.0,181.0,11.0,37547.0,28798.0,225.0,109.0,351.0,438.0
2019 - 2020,PUBLICPRIVATESUCsLUCs,Region IV-A - CALABARZON,13280,29280,28165,33558,24972,22076,9621,9039,329,34,41155,28748,298,120,479,588,12546.0,28935.0,18420.0,24468.0,21790.0,18944.0,11227.0,10520.0,354.0,15.0,38273.0,28768.0,240.0,96.0,421.0,571.0
