Region,Total Students
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,236604.0
CAR - Cordillera Administrative Region,245637.0
CARAGA - CARAGA,369740.0
NCR - National Capital Region,1760257.0
Region I - Ilocos Region,740926.0
Region II - Cagayan Valley,464197.0
Region III - Central Luzon,1545493.0
Region IV-A - CALABARZON,1951103.0
Region IV-B - MIMAROPA,424060.0
Region IX - Zamboanga Peninsula,445440.0
Region V - Bicol Region,866748.0
Region VI - Western Visayas,1071707.0
Region VII - Central Visayas,1074599.0
Region VIII - Eastern Visayas,642653.0
Region X - Northern Mindanao,592050.0
Region XI - Davao Region,612644.0
Region XII - Soccsksargen,584073.0
